Signum,Plats,Socken,Härad,Kommun,KoordinaterX,KoordinaterY,Stilgruppering,Ristare,Materialtyp
U 196 †,Vada kyrka,Vada sn,Vallentuna hd,Vallentuna,6608812,1635635,?,,sten
U 197 †,Vada kyrka,Vada sn,Vallentuna hd,Vallentuna,6608811,1635597,?,,sten
U 198,Vada kyrka,Vada sn,Vallentuna hd,Vallentuna,6608799,1635581,Pr5,,sten
U 201 $,Angarns kyrka,Angarns sn,Vallentuna hd,Vallentuna,6604195,1633711,Pr1,Samma som gjort U 276; Gunnar (A),sten
U 202,Angarns kyrka,Angarns sn,Vallentuna hd,Vallentuna,6604160,1633693,Pr3,Fot 2 (A),sten
U 203,Angarns kyrka,Angarns sn,Vallentuna hd,Vallentuna,6604160,1633704,Pr3,Åsmund (A); Frögärd (S),sten
U 204,Angarns kyrka,Angarns sn,Vallentuna hd,Vallentuna,6604161,1633698,Fp,,sten
U 205 †,Angarns kyrka,Angarns sn,Vallentuna hd,Vallentuna,6604189,1633712,?,-älv (S),sten
U 206 †,Angarns kyrka,Angarns sn,Vallentuna hd,Vallentuna,6604189,1633712,?,,sten
U 212,Vallentuna kyrka,Vallentuna sn,Vallentuna hd,Vallentuna,6603409,1628356,"sid a: Pr2, sid b: Pr2 - Pr3",Fot 2 (A),sten
U 213,Vallentuna kyrka,Vallentuna sn,Vallentuna hd,Vallentuna,6603420,1628370,?,,sten
U 214,Vallentuna kyrka,Vallentuna sn,Vallentuna hd,Vallentuna,6603424,1628359,RAK,Drosboe (A) ? [Stille 1999b:205],sten
U 215,Vallentuna kyrka,Vallentuna sn,Vallentuna hd,Vallentuna,6603420,1628370,?,,sten
U 216,Vallentuna kyrka,Vallentuna sn,Vallentuna hd,Vallentuna,6603420,1628370,Pr5,Drosboe (S),sten
U 217 $,Vallentuna kyrka,Vallentuna sn,Vallentuna hd,Vallentuna,6603420,1628370,?,"Drosboe (A) (Mindre troligt efter återfyndet, se ATA Dnr 322-3229-2005)",sten
U 218 †,Vallentuna kyrka,Vallentuna sn,Vallentuna hd,Vallentuna,6603420,1628370,?,,sten
U 219 M,Vallentuna kyrka,Vallentuna sn,Vallentuna hd,Vallentuna,6603429,1628350,,,sten
U 220 M,Vallentuna kyrka,Vallentuna sn,Vallentuna hd,Vallentuna,6603420,1628370,,,sten
U 221 $,Vallentuna kyrka,Vallentuna sn,Vallentuna hd,Vallentuna,6603374,1628393,?,Gunnar (A),sten
U 222 †,Vallentuna kyrka,Vallentuna sn,Vallentuna hd,Vallentuna,6603420,1628370,?,,sten
U 252,Fresta kyrka,Fresta sn,Vallentuna hd,Upplands-Väsby,6601688,1621788,Pr5,"Öpir 1 (A) [attr. svagt grundad, Åhlén 1997]",sten
U 253 $,Fresta kyrka,Fresta sn,Vallentuna hd,Upplands-Väsby,6601701,1621782,Pr3?,,sten
