Signum,Plats,Socken,Härad,Kommun,KoordinaterX,KoordinaterY,Stilgruppering,Ristare,Materialtyp
U 380 $,Kyrkogården,Sigtuna,,Sigtuna,6612484,1608194,?,,sten
U 381,Kyrkogården,Sigtuna,,Sigtuna,6612468,1608191,?,,sten
U 781 $,Svinnegarns kyrkogård,Svinnegarns sn,Åsunda hd,Enköping,6608169,1567555,?,"Balle (A), Stille 1999b anser att U 782 skall attribueras till Balle, fragmentet med runorna 15-22 ev. till Balle och fragmentet med runorna 23-29 ev. till Tidkume",sten
U 783 $,Svinnegarns kyrkogård,Svinnegarns sn,Åsunda hd,Enköping,6608169,1567555,?,,sten
U Fv1967;262B,Eds kyrkogård,Eds sn,Sollentuna hd,Upplands-Väsby,6600393,1616831,Pr5,Öpir 1 (A) = Öpirs stil,sten
U Fv1990;32A $,Ekerö kyrkogård,Ekerö sn,Färentuna hd,Ekerö,6573974,1610785,?,,sten
U Fv1993;231,Frösunda kyrkogård,Frösunda sn,Seminghundra hd,Vallentuna,6613652,1633273,?,,sten
U Fv1993;233,Hammarby kyrkogård,Hammarby sn,Vallentuna hd,Upplands-Väsby,6603825,1619890,?,,sten
Hs 20 †$,Ljusdals kyrkogård,Ljusdals sn,Västra Hälsinglands domsagas tingslag,Ljusdal,6857175,1514072,?,,sten
M 9 †$,Selångers kyrkogård,Selångers sn,Medelpads västra domsagas tingslag,Sundsvall,6922267,1572565,Pr3,,sten
Bo Boije4 $,Skee kyrkogård,Skee sn,Vette hd,Strömstad,6543879,1239568,,,sten
IS IR;76 M,Hvalsnes kyrkogård,Hvalsnes sn,Gullbringu sýsla,,,,,,sten
IS IR;107 M,Gilsbakki kyrkogård,Gilsbakki sn,Mýra sýsla,,,,,,sten
